,Player,PTS,TRB,AST,STL,BLK,TOV,FG%,3P%,Age,Pos,GS,YOE,BPM,VORP,WS/48,Salary
3318,Patrick Beverley,7.5,3.2,2.1,0.8,0.8,0.9,0.423,0.397,32.0,PG,34.0,10.0,0.7,0.6,0.119,"15,866,666"
3319,Henry Ellenson,7.5,6.0,2.5,0.0,0.0,0.0,0.357,0.222,24.0,PF,0.0,6.0,-1.8,0.0,0.127,"201,089"
3320,Malachi Flynn,7.5,2.5,2.9,0.8,0.1,0.9,0.374,0.321,22.0,PG,14.0,2.0,-2.6,-0.1,0.041,"2,321,214"
3321,Jaxson Hayes,7.5,4.3,0.6,0.4,0.6,0.7,0.625,0.429,20.0,C,3.0,3.0,0.6,0.6,0.176,"6,075,140"
3322,DeAndre Jordan,7.5,7.5,1.6,0.3,1.1,1.5,0.763,0.0,32.0,C,43.0,14.0,1.0,0.9,0.152,"12,347,056"
3323,Edmond Sumner,7.5,1.8,0.9,0.6,0.2,1.0,0.525,0.398,25.0,SG,24.0,5.0,-2.8,-0.2,0.077,"2,570,400"
3324,JJ Redick,7.4,1.5,1.2,0.3,0.1,0.8,0.397,0.371,36.0,SG,0.0,16.0,-3.5,-0.3,0.045,"15,486,303"
3325,Jalen Harris,7.4,1.4,1.3,0.6,0.0,1.1,0.5,0.472,22.0,SG,2.0,2.0,0.3,0.1,0.079,"534,446"
3326,Jalen McDaniels,7.4,3.6,1.1,0.6,0.4,1.0,0.468,0.333,23.0,SF,18.0,3.0,-3.2,-0.3,0.062,"1,806,397"
3327,JaVale McGee,7.3,5.2,0.8,0.4,1.2,1.3,0.511,0.208,33.0,C,2.0,14.0,-2.5,-0.1,0.068,"4,998,000"
3328,Louis King,7.3,3.0,1.5,1.2,0.5,0.7,0.5,0.364,21.0,SF,1.0,3.0,4.9,0.1,0.16,"58,574"
3329,Khem Birch,7.2,5.8,1.3,0.7,0.7,0.7,0.497,0.25,28.0,C,22.0,5.0,-1.0,0.4,0.118,"3,077,382"
3330,Khem Birch,7.2,5.8,1.3,0.7,0.7,0.7,0.497,0.25,28.0,C,22.0,5.0,-1.0,0.4,0.118,"506,300"
3331,James Johnson,7.2,3.5,1.9,0.8,0.8,1.1,0.446,0.258,33.0,PF,12.0,13.0,-1.2,0.2,0.055,"19,096,049"
3332,Justin Jackson,7.2,2.3,1.5,0.4,0.1,0.9,0.403,0.308,25.0,SF,3.0,5.0,-3.5,-0.2,0.018,"5,985,283"
3333,Justin Jackson,7.2,2.3,1.5,0.4,0.1,0.9,0.403,0.308,25.0,SF,3.0,5.0,-3.5,-0.2,0.018,"95,184"
3334,Kent Bazemore,7.2,3.4,1.6,1.0,0.5,1.2,0.449,0.408,31.0,SF,18.0,10.0,-1.2,0.2,0.065,"2,760,852"
3335,Juancho Hernangómez,7.2,3.9,0.7,0.4,0.1,0.5,0.435,0.327,25.0,PF,6.0,6.0,-2.9,-0.2,0.06,"7,726,670"
3336,Aaron Holiday,7.2,1.3,1.9,0.7,0.2,1.0,0.39,0.368,24.0,PG,8.0,4.0,-4.2,-0.7,0.009,"2,791,311"
3337,Tony Bradley,7.1,5.7,0.9,0.4,0.7,0.8,0.665,0.0,23.0,C,8.0,5.0,1.3,0.6,0.192,"4,215,051"
3338,Dewayne Dedmon,7.1,5.4,0.8,0.6,0.4,0.8,0.708,0.2,31.0,C,0.0,9.0,1.7,0.2,0.256,"3,411,333"
3339,Dewayne Dedmon,7.1,5.4,0.8,0.6,0.4,0.8,0.708,0.2,31.0,C,0.0,9.0,1.7,0.2,0.256,"691,165"
3340,Maxi Kleber,7.1,5.2,1.4,0.5,0.7,0.6,0.422,0.41,29.0,PF,40.0,5.0,0.0,0.7,0.103,"10,085,250"
3341,Ignas Brazdeikis,7.0,3.5,1.3,0.3,0.2,0.9,0.422,0.393,22.0,SF,0.0,3.0,-5.3,-0.2,0.016,"1,806,397"
3342,Ignas Brazdeikis,7.0,3.5,1.3,0.3,0.2,0.9,0.422,0.393,22.0,SF,0.0,3.0,-5.3,-0.2,0.016,"200,317"
3343,Daniel Gafford,7.0,4.3,0.5,0.5,1.4,0.8,0.684,,22.0,C,11.0,3.0,2.2,0.8,0.209,"1,806,397"
3344,Draymond Green,7.0,7.1,8.9,1.7,0.8,3.0,0.447,0.27,30.0,PF,63.0,10.0,1.7,1.9,0.112,"26,473,877"
3345,Dwight Howard,7.0,8.4,0.9,0.4,0.9,1.6,0.587,0.25,35.0,C,6.0,18.0,-1.5,0.1,0.159,"3,052,056"
3346,Terance Mann,7.0,3.6,1.6,0.4,0.2,0.6,0.509,0.418,24.0,SG,10.0,3.0,-0.2,0.6,0.141,"1,806,397"
3347,Royce O'Neale,7.0,6.8,2.5,0.8,0.5,1.2,0.444,0.385,27.0,SF,71.0,5.0,1.0,1.7,0.121,"10,115,000"
3348,R.J. Hampton,6.9,3.5,1.7,0.4,0.2,1.0,0.435,0.31,19.0,SG,1.0,2.0,-3.8,-0.4,0.021,"2,610,241"
3349,Moritz Wagner,6.9,3.2,1.1,0.6,0.4,1.0,0.454,0.341,23.0,C,24.0,4.0,-2.6,-0.1,0.082,"2,572,684"
3350,Moritz Wagner,6.9,3.2,1.1,0.6,0.4,1.0,0.454,0.341,23.0,C,24.0,4.0,-2.6,-0.1,0.082,"264,174"
3351,Georges Niang,6.9,2.4,0.8,0.3,0.1,0.7,0.437,0.425,27.0,PF,10.0,6.0,-0.3,0.5,0.108,"2,122,432"
3352,Gorgui Dieng,6.8,3.7,1.3,0.7,0.4,0.8,0.521,0.429,31.0,C,1.0,9.0,3.4,0.7,0.185,"19,739,348"
3353,Gorgui Dieng,6.8,3.7,1.3,0.7,0.4,0.8,0.521,0.429,31.0,C,1.0,9.0,3.4,0.7,0.185,"1,190,000"
3354,Pat Connaughton,6.8,4.8,1.2,0.7,0.3,0.5,0.434,0.371,28.0,SG,4.0,7.0,0.0,0.8,0.108,"5,876,544"
3355,Killian Hayes,6.8,2.7,5.3,1.0,0.4,3.2,0.353,0.278,19.0,PG,18.0,2.0,-7.2,-0.9,-0.081,"6,315,472"
3356,Derrick Jones Jr.,6.8,3.5,0.8,0.6,0.9,0.6,0.484,0.316,23.0,SF,43.0,6.0,-1.4,0.2,0.089,"11,017,020"
3357,Jaden McDaniels,6.8,3.7,1.1,0.6,1.0,0.7,0.447,0.364,20.0,PF,27.0,2.0,-3.5,-0.6,0.046,"2,338,064"
3358,Justise Winslow,6.8,4.5,1.9,0.6,0.5,1.4,0.352,0.185,24.0,SF,1.0,7.0,-6.0,-0.5,-0.066,"15,470,000"
3359,Dennis Smith Jr.,6.7,2.4,3.3,1.0,0.6,1.1,0.4,0.328,23.0,PG,9.0,5.0,0.4,0.3,0.07,"6,767,145"
3360,Jeff Teague,6.7,1.6,2.4,0.6,0.2,1.2,0.433,0.439,32.0,PG,7.0,13.0,-2.2,-0.1,0.079,"3,052,056"
3361,Jeff Teague,6.7,1.6,2.4,0.6,0.2,1.2,0.433,0.439,32.0,PG,7.0,13.0,-2.2,-0.1,0.079,"961,606"
3362,Damyean Dotson,6.7,2.0,2.0,0.3,0.1,0.9,0.406,0.289,26.0,SG,7.0,5.0,-4.8,-0.6,-0.002,"2,380,000"
3363,Markieff Morris,6.7,4.4,1.2,0.4,0.3,0.9,0.405,0.311,31.0,PF,27.0,11.0,-2.6,-0.2,0.062,"2,774,595"
3364,Abdel Nader,6.7,2.6,0.8,0.4,0.4,0.8,0.491,0.419,27.0,SF,0.0,5.0,0.0,0.2,0.095,"2,086,010"
3365,Ish Smith,6.7,3.4,3.9,0.7,0.3,0.9,0.434,0.367,32.0,PG,1.0,12.0,-1.5,0.1,0.056,"7,140,000"
3366,Alex Len,6.6,4.1,0.8,0.3,1.0,0.9,0.615,0.32,27.0,C,42.0,9.0,-0.1,0.5,0.133,"2,687,020"
3367,Alex Len,6.6,4.1,0.8,0.3,1.0,0.9,0.615,0.32,27.0,C,42.0,9.0,-0.1,0.5,0.133,"2,038,051"
